date,Arts_BE
2018-01-07,74
2018-01-14,70
2018-01-21,77
2018-01-28,80
2018-02-04,80
2018-02-11,74
2018-02-18,80
2018-02-25,76
2018-03-04,76
2018-03-11,94
2018-03-18,76
2018-03-25,68
2018-04-01,72
2018-04-08,72
2018-04-15,78
2018-04-22,69
2018-04-29,78
2018-05-06,65
2018-05-13,68
2018-05-20,76
2018-05-27,61
2018-06-03,71
2018-06-10,66
2018-06-17,50
2018-06-24,59
2018-07-01,48
2018-07-08,55
2018-07-15,49
2018-07-22,60
2018-07-29,55
2018-08-05,58
2018-08-12,62
2018-08-19,63
2018-08-26,84
2018-09-02,100
2018-09-09,74
2018-09-16,73
2018-09-23,71
2018-09-30,75
2018-10-07,74
2018-10-14,73
2018-10-21,94
2018-10-28,78
2018-11-04,83
2018-11-11,76
2018-11-18,70
2018-11-25,67
2018-12-02,71
2018-12-09,74
2018-12-16,65
2018-12-23,57
2018-12-30,66
2019-01-06,63
2019-01-13,68
2019-01-20,63
2019-01-27,87
2019-02-03,78
2019-02-10,74
2019-02-17,80
2019-02-24,74
2019-03-03,75
2019-03-10,91
2019-03-17,97
2019-03-24,92
2019-03-31,80
2019-04-07,57
2019-04-14,78
2019-04-21,85
2019-04-28,76
2019-05-05,67
2019-05-12,72
2019-05-19,65
2019-05-26,54
2019-06-02,65
2019-06-09,66
2019-06-16,52
2019-06-23,59
2019-06-30,55
2019-07-07,60
2019-07-14,54
2019-07-21,51
2019-07-28,57
2019-08-04,54
2019-08-11,63
2019-08-18,69
2019-08-25,75
2019-09-01,66
2019-09-08,75
2019-09-15,68
2019-09-22,73
2019-09-29,71
2019-10-06,71
2019-10-13,75
2019-10-20,74
2019-10-27,70
2019-11-03,74
2019-11-10,96
2019-11-17,80
2019-11-24,62
2019-12-01,69
2019-12-08,70
2019-12-15,68
2019-12-22,61
2019-12-29,65
2020-01-05,68
2020-01-12,70
2020-01-19,61
2020-01-26,72
2020-02-02,75
2020-02-09,74
2020-02-16,87
2020-02-23,58
2020-03-01,69
2020-03-08,56
