date,Performing_Art_CA
2020-03-15,26
2020-03-22,23
2020-03-29,21
2020-04-05,22
2020-04-12,44
2020-04-19,30
2020-04-26,26
2020-05-03,21
2020-05-10,22
2020-05-17,11
2020-05-24,20
2020-05-31,20
2020-06-07,14
2020-06-14,18
2020-06-21,86
2020-06-28,36
2020-07-05,23
2020-07-12,14
2020-07-19,25
2020-07-26,24
2020-08-02,26
2020-08-09,24
2020-08-16,26
2020-08-23,28
2020-08-30,34
2020-09-06,32
2020-09-13,22
2020-09-20,21
2020-09-27,12
2020-10-04,15
2020-10-11,17
2020-10-18,35
2020-10-25,17
2020-11-01,17
2020-11-08,20
2020-11-15,30
2020-11-22,29
2020-11-29,35
2020-12-06,40
2020-12-13,42
2020-12-20,39
2020-12-27,40
2021-01-03,24
2021-01-10,38
2021-01-17,28
2021-01-24,24
2021-01-31,31
2021-02-07,53
2021-02-14,20
2021-02-21,28
2021-02-28,32
2021-03-07,27
2021-03-14,40
2021-03-21,34
2021-03-28,37
2021-04-04,21
2021-04-11,23
2021-04-18,17
2021-04-25,30
2021-05-02,33
2021-05-09,21
2021-05-16,29
2021-05-23,23
2021-05-30,35
2021-06-06,35
2021-06-13,41
2021-06-20,100
2021-06-27,42
2021-07-04,46
2021-07-11,58
2021-07-18,57
2021-07-25,67
2021-08-01,58
2021-08-08,45
2021-08-15,53
2021-08-22,42
2021-08-29,54
