date,Cooking_CH
2020-03-15,58
2020-03-22,78
2020-03-29,96
2020-04-05,100
2020-04-12,98
2020-04-19,92
2020-04-26,75
2020-05-03,85
2020-05-10,66
2020-05-17,72
2020-05-24,54
2020-05-31,58
2020-06-07,54
2020-06-14,48
2020-06-21,44
2020-06-28,38
2020-07-05,41
2020-07-12,40
2020-07-19,40
2020-07-26,45
2020-08-02,45
2020-08-09,52
2020-08-16,44
2020-08-23,53
2020-08-30,54
2020-09-06,44
2020-09-13,52
2020-09-20,56
2020-09-27,63
2020-10-04,72
2020-10-11,57
2020-10-18,70
2020-10-25,72
2020-11-01,62
2020-11-08,76
2020-11-15,80
2020-11-22,68
2020-11-29,75
2020-12-06,64
2020-12-13,59
2020-12-20,98
2020-12-27,85
2021-01-03,64
2021-01-10,74
2021-01-17,65
2021-01-24,61
2021-01-31,74
2021-02-07,64
2021-02-14,71
2021-02-21,61
2021-02-28,67
2021-03-07,62
2021-03-14,67
2021-03-21,68
2021-03-28,86
2021-04-04,79
2021-04-11,63
2021-04-18,57
2021-04-25,62
2021-05-02,56
2021-05-09,63
2021-05-16,51
2021-05-23,48
2021-05-30,43
2021-06-06,46
2021-06-13,41
2021-06-20,38
2021-06-27,36
2021-07-04,32
2021-07-11,38
2021-07-18,41
2021-07-25,42
2021-08-01,46
2021-08-08,39
2021-08-15,39
2021-08-22,48
2021-08-29,47
