date,Game_ES
2020-03-15,73
2020-03-22,62
2020-03-29,60
2020-04-05,62
2020-04-12,60
2020-04-19,55
2020-04-26,52
2020-05-03,48
2020-05-10,47
2020-05-17,46
2020-05-24,46
2020-05-31,44
2020-06-07,45
2020-06-14,43
2020-06-21,40
2020-06-28,42
2020-07-05,40
2020-07-12,40
2020-07-19,39
2020-07-26,37
2020-08-02,41
2020-08-09,39
2020-08-16,41
2020-08-23,38
2020-08-30,40
2020-09-06,41
2020-09-13,42
2020-09-20,44
2020-09-27,43
2020-10-04,45
2020-10-11,42
2020-10-18,42
2020-10-25,45
2020-11-01,47
2020-11-08,51
2020-11-15,51
2020-11-22,50
2020-11-29,50
2020-12-06,60
2020-12-13,58
2020-12-20,64
2020-12-27,63
2021-01-03,56
2021-01-10,47
2021-01-17,45
2021-01-24,45
2021-01-31,45
2021-02-07,44
2021-02-14,44
2021-02-21,47
2021-02-28,42
2021-03-07,42
2021-03-14,42
2021-03-21,44
2021-03-28,45
2021-04-04,41
2021-04-11,42
2021-04-18,43
2021-04-25,42
2021-05-02,41
2021-05-09,41
2021-05-16,41
2021-05-23,39
2021-05-30,42
2021-06-06,45
2021-06-13,48
2021-06-20,44
2021-06-27,48
2021-07-04,46
2021-07-11,43
2021-07-18,62
2021-07-25,94
2021-08-01,100
2021-08-08,47
2021-08-15,41
2021-08-22,45
2021-08-29,48
