date,Arts_HK
2020-03-15,71
2020-03-22,86
2020-03-29,70
2020-04-05,50
2020-04-12,71
2020-04-19,89
2020-04-26,84
2020-05-03,70
2020-05-10,86
2020-05-17,88
2020-05-24,80
2020-05-31,80
2020-06-07,95
2020-06-14,77
2020-06-21,77
2020-06-28,79
2020-07-05,74
2020-07-12,66
2020-07-19,73
2020-07-26,69
2020-08-02,61
2020-08-09,72
2020-08-16,71
2020-08-23,77
2020-08-30,79
2020-09-06,84
2020-09-13,81
2020-09-20,78
2020-09-27,61
2020-10-04,78
2020-10-11,77
2020-10-18,73
2020-10-25,78
2020-11-01,80
2020-11-08,85
2020-11-15,72
2020-11-22,73
2020-11-29,76
2020-12-06,65
2020-12-13,66
2020-12-20,67
2020-12-27,53
2021-01-03,70
2021-01-10,63
2021-01-17,56
2021-01-24,65
2021-01-31,59
2021-02-07,59
2021-02-14,68
2021-02-21,82
2021-02-28,81
2021-03-07,79
2021-03-14,81
2021-03-21,67
2021-03-28,81
2021-04-04,75
2021-04-11,81
2021-04-18,86
2021-04-25,94
2021-05-02,78
2021-05-09,97
2021-05-16,100
2021-05-23,91
2021-05-30,89
2021-06-06,71
2021-06-13,88
2021-06-20,71
2021-06-27,88
2021-07-04,77
2021-07-11,78
2021-07-18,78
2021-07-25,81
2021-08-01,77
2021-08-08,68
2021-08-15,77
2021-08-22,87
2021-08-29,89
