date,Arts_ID
2018-01-07,46
2018-01-14,51
2018-01-21,54
2018-01-28,51
2018-02-04,50
2018-02-11,46
2018-02-18,49
2018-02-25,53
2018-03-04,61
2018-03-11,57
2018-03-18,63
2018-03-25,51
2018-04-01,43
2018-04-08,50
2018-04-15,48
2018-04-22,41
2018-04-29,36
2018-05-06,44
2018-05-13,36
2018-05-20,67
2018-05-27,34
2018-06-03,25
2018-06-10,18
2018-06-17,19
2018-06-24,20
2018-07-01,21
2018-07-08,24
2018-07-15,36
2018-07-22,60
2018-07-29,71
2018-08-05,61
2018-08-12,51
2018-08-19,46
2018-08-26,62
2018-09-02,61
2018-09-09,52
2018-09-16,69
2018-09-23,69
2018-09-30,64
2018-10-07,63
2018-10-14,53
2018-10-21,48
2018-10-28,49
2018-11-04,52
2018-11-11,54
2018-11-18,51
2018-11-25,77
2018-12-02,87
2018-12-09,46
2018-12-16,26
2018-12-23,24
2018-12-30,28
2019-01-06,48
2019-01-13,56
2019-01-20,60
2019-01-27,58
2019-02-03,51
2019-02-10,57
2019-02-17,61
2019-02-24,65
2019-03-03,60
2019-03-10,72
2019-03-17,65
2019-03-24,55
2019-03-31,50
2019-04-07,55
2019-04-14,36
2019-04-21,42
2019-04-28,40
2019-05-05,39
2019-05-12,62
2019-05-19,59
2019-05-26,31
2019-06-02,22
2019-06-09,30
2019-06-16,38
2019-06-23,27
2019-06-30,24
2019-07-07,28
2019-07-14,37
2019-07-21,60
2019-07-28,69
2019-08-04,64
2019-08-11,48
2019-08-18,60
2019-08-25,65
2019-09-01,63
2019-09-08,65
2019-09-15,72
2019-09-22,75
2019-09-29,60
2019-10-06,59
2019-10-13,54
2019-10-20,49
2019-10-27,47
2019-11-03,44
2019-11-10,51
2019-11-17,53
2019-11-24,64
2019-12-01,100
2019-12-08,63
2019-12-15,31
2019-12-22,24
2019-12-29,24
2020-01-05,41
2020-01-12,61
2020-01-19,56
2020-01-26,58
2020-02-02,59
2020-02-09,60
2020-02-16,63
2020-02-23,63
2020-03-01,69
2020-03-08,70
