date,Sports_IT
2018-01-07,61
2018-01-14,64
2018-01-21,71
2018-01-28,67
2018-02-04,62
2018-02-11,69
2018-02-18,66
2018-02-25,60
2018-03-04,64
2018-03-11,68
2018-03-18,59
2018-03-25,61
2018-04-01,68
2018-04-08,78
2018-04-15,65
2018-04-22,69
2018-04-29,74
2018-05-06,69
2018-05-13,67
2018-05-20,71
2018-05-27,66
2018-06-03,70
2018-06-10,68
2018-06-17,71
2018-06-24,69
2018-07-01,81
2018-07-08,73
2018-07-15,72
2018-07-22,71
2018-07-29,80
2018-08-05,81
2018-08-12,84
2018-08-19,74
2018-08-26,78
2018-09-02,68
2018-09-09,69
2018-09-16,82
2018-09-23,81
2018-09-30,76
2018-10-07,68
2018-10-14,68
2018-10-21,74
2018-10-28,64
2018-11-04,73
2018-11-11,68
2018-11-18,64
2018-11-25,68
2018-12-02,67
2018-12-09,72
2018-12-16,75
2018-12-23,72
2018-12-30,61
2019-01-06,64
2019-01-13,70
2019-01-20,71
2019-01-27,71
2019-02-03,70
2019-02-10,74
2019-02-17,75
2019-02-24,70
2019-03-03,76
2019-03-10,84
2019-03-17,69
2019-03-24,68
2019-03-31,75
2019-04-07,71
2019-04-14,76
2019-04-21,67
2019-04-28,72
2019-05-05,75
2019-05-12,78
2019-05-19,76
2019-05-26,78
2019-06-02,79
2019-06-09,76
2019-06-16,79
2019-06-23,76
2019-06-30,74
2019-07-07,73
2019-07-14,75
2019-07-21,74
2019-07-28,77
2019-08-04,86
2019-08-11,81
2019-08-18,86
2019-08-25,96
2019-09-01,86
2019-09-08,81
2019-09-15,88
2019-09-22,89
2019-09-29,90
2019-10-06,90
2019-10-13,75
2019-10-20,94
2019-10-27,94
2019-11-03,87
2019-11-10,76
2019-11-17,74
2019-11-24,83
2019-12-01,87
2019-12-08,86
2019-12-15,87
2019-12-22,74
2019-12-29,67
2020-01-05,89
2020-01-12,89
2020-01-19,100
2020-01-26,91
2020-02-02,82
2020-02-09,84
2020-02-16,91
2020-02-23,74
2020-03-01,70
2020-03-08,65
