date,Learning_PK
2020-03-15,59
2020-03-22,64
2020-03-29,72
2020-04-05,70
2020-04-12,88
2020-04-19,72
2020-04-26,83
2020-05-03,92
2020-05-10,72
2020-05-17,60
2020-05-24,44
2020-05-31,78
2020-06-07,77
2020-06-14,69
2020-06-21,88
2020-06-28,99
2020-07-05,100
2020-07-12,94
2020-07-19,72
2020-07-26,63
2020-08-02,52
2020-08-09,56
2020-08-16,62
2020-08-23,64
2020-08-30,70
2020-09-06,84
2020-09-13,66
2020-09-20,71
2020-09-27,84
2020-10-04,72
2020-10-11,64
2020-10-18,74
2020-10-25,66
2020-11-01,69
2020-11-08,74
2020-11-15,63
2020-11-22,68
2020-11-29,80
2020-12-06,73
2020-12-13,77
2020-12-20,71
2020-12-27,64
2021-01-03,58
2021-01-10,82
2021-01-17,70
2021-01-24,74
2021-01-31,71
2021-02-07,66
2021-02-14,67
2021-02-21,63
2021-02-28,75
2021-03-07,71
2021-03-14,65
2021-03-21,55
2021-03-28,59
2021-04-04,67
2021-04-11,72
2021-04-18,79
2021-04-25,69
2021-05-02,73
2021-05-09,44
2021-05-16,62
2021-05-23,80
2021-05-30,78
2021-06-06,84
2021-06-13,65
2021-06-20,64
2021-06-27,64
2021-07-04,72
2021-07-11,68
2021-07-18,47
2021-07-25,54
2021-08-01,55
2021-08-08,69
2021-08-15,56
2021-08-22,65
2021-08-29,55
