date,Performing_Art_PE
2020-03-15,24
2020-03-22,41
2020-03-29,10
2020-04-05,38
2020-04-12,35
2020-04-19,26
2020-04-26,34
2020-05-03,81
2020-05-10,56
2020-05-17,23
2020-05-24,47
2020-05-31,37
2020-06-07,76
2020-06-14,40
2020-06-21,17
2020-06-28,8
2020-07-05,25
2020-07-12,50
2020-07-19,51
2020-07-26,51
2020-08-02,9
2020-08-09,34
2020-08-16,51
2020-08-23,34
2020-08-30,42
2020-09-06,25
2020-09-13,68
2020-09-20,69
2020-09-27,37
2020-10-04,27
2020-10-11,39
2020-10-18,70
2020-10-25,100
2020-11-01,50
2020-11-08,30
2020-11-15,49
2020-11-22,30
2020-11-29,30
2020-12-06,31
2020-12-13,41
2020-12-20,50
2020-12-27,51
2021-01-03,60
2021-01-10,0
2021-01-17,72
2021-01-24,71
2021-01-31,35
2021-02-07,23
2021-02-14,45
2021-02-21,23
2021-02-28,22
2021-03-07,42
2021-03-14,64
2021-03-21,48
2021-03-28,82
2021-04-04,46
2021-04-11,71
2021-04-18,54
2021-04-25,71
2021-05-02,72
2021-05-09,28
2021-05-16,29
2021-05-23,45
2021-05-30,54
2021-06-06,24
2021-06-13,53
2021-06-20,27
2021-06-27,18
2021-07-04,18
2021-07-11,65
2021-07-18,38
2021-07-25,48
2021-08-01,0
2021-08-08,30
2021-08-15,48
2021-08-22,52
2021-08-29,32
