Rank,MaxRelation,MaxValue,MinRelation,MinValue
1,CAN-USA,0.8842644308432942,IND-PHL,-0.6551101060449915
2,CAN-GBR,0.8003729424016771,FRA-IND,-0.5549814640861069
3,GBR-IRL,0.7414200051378051,COL-SWE,-0.49812793640673875
4,GBR-USA,0.72485690509552,IND-JPN,-0.4699493297405949
5,CAN-IRL,0.6702392263282765,COL-FIN,-0.46921325469995423
6,AUS-ZAF,0.665621315541617,ITA-JPN,-0.43476213240264355
7,ESP-ITA,0.6544400596334061,IRN-ROU,-0.41711649430823466
8,AUS-NZL,0.6391427308663583,COL-CZE,-0.4088293619186319
9,JPN-PHL,0.6248044468162645,AUT-IND,-0.4063415873910239
10,AUS-GBR,0.6149298884101757,BRA-SWE,-0.40376901956884165
